WIFI DATA 
Frequency: 2422
Timestamp: 27838889257


************** 

Scanning: Stue

SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:72
ResultLevel: -88
Frequency: 2412
Timestamp: 27877188971


SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:2a
ResultLevel: -90
Frequency: 2437
Timestamp: 27877188986


SSID: ADpKTvsM
BSSID: b8:d9:4d:67:05:76
ResultLevel: -89
Frequency: 2412
Timestamp: 27877188968


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -54
Frequency: 5260
Timestamp: 27877189000


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -55
Frequency: 2427
Timestamp: 27877188979


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -49
Frequency: 2462
Timestamp: 27877189008


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -64
Frequency: 2452
Timestamp: 27877188989


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -70
Frequency: 5500
Timestamp: 27877189015


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -47
Frequency: 5260
Timestamp: 27877188995


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -89
Frequency: 2422
Timestamp: 27877188975


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -70
Frequency: 5500
Timestamp: 27877189018


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -53
Frequency: 5260
Timestamp: 27877189004


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -86
Frequency: 2462
Timestamp: 27877189011


SSID: DIRECT-reC48x Series
BSSID: 86:25:19:77:df:e2
ResultLevel: -89
Frequency: 2422
Timestamp: 27877188983


************** 

Scanning: Stue

SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:72
ResultLevel: -87
Frequency: 2412
Timestamp: 27879907049


SSID: 
BSSID: a4:08:f5:1f:09:3b
ResultLevel: -95
Frequency: 2437
Timestamp: 27879907057


SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:2a
ResultLevel: -89
Frequency: 2437
Timestamp: 27879907056


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -53
Frequency: 5260
Timestamp: 27879907059


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -57
Frequency: 2427
Timestamp: 27879907054


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -49
Frequency: 2462
Timestamp: 27879907064


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -63
Frequency: 2452
Timestamp: 27879907058


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -70
Frequency: 5500
Timestamp: 27879907067


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -48
Frequency: 5260
Timestamp: 27879907060


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -89
Frequency: 2422
Timestamp: 27879907051


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -70
Frequency: 5500
Timestamp: 27879907068


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -53
Frequency: 5260
Timestamp: 27879907063


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -86
Frequency: 2462
Timestamp: 27879907066


SSID: DIRECT-reC48x Series
BSSID: 86:25:19:77:df:e2
ResultLevel: -89
Frequency: 2422
Timestamp: 27879907053


************** 

Scanning: Stue

SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:72
ResultLevel: -88
Frequency: 2412
Timestamp: 27931576783


SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:2a
ResultLevel: -90
Frequency: 2437
Timestamp: 27931576800


SSID: ADpKTvsM
BSSID: b8:d9:4d:67:05:76
ResultLevel: -94
Frequency: 2412
Timestamp: 27931576787


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -51
Frequency: 5260
Timestamp: 27931576819


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -56
Frequency: 2427
Timestamp: 27931576798


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -49
Frequency: 2462
Timestamp: 27931576811


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -65
Frequency: 2452
Timestamp: 27931576804


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -70
Frequency: 5500
Timestamp: 27931576834


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -48
Frequency: 5260
Timestamp: 27931576815


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -89
Frequency: 2422
Timestamp: 27931576790


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -70
Frequency: 5500
Timestamp: 27931576831


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -51
Frequency: 5260
Timestamp: 27931576823


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -87
Frequency: 2462
Timestamp: 27931576826


SSID: DIRECT-reC48x Series
BSSID: 86:25:19:77:df:e2
ResultLevel: -89
Frequency: 2422
Timestamp: 27931576794


************** 

Scanning: Stue

SSID: ADpKTvsM
BSSID: b8:d9:4d:67:05:76
ResultLevel: -94
Frequency: 2412
Timestamp: 27934308157


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -51
Frequency: 5260
Timestamp: 27934308174


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -55
Frequency: 2427
Timestamp: 27934308167


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -49
Frequency: 2462
Timestamp: 27934308185


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -64
Frequency: 2452
Timestamp: 27934308170


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -70
Frequency: 5500
Timestamp: 27934308200


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -48
Frequency: 5260
Timestamp: 27934308178


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -89
Frequency: 2422
Timestamp: 27934308161


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -70
Frequency: 5500
Timestamp: 27934308204


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -52
Frequency: 5260
Timestamp: 27934308181


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -85
Frequency: 2462
Timestamp: 27934308188


SSID: CableBox-6FB4
BSSID: 58:90:43:54:6f:ba
ResultLevel: -93
Frequency: 2472
Timestamp: 27934308192


SSID: DIRECT-reC48x Series
BSSID: 86:25:19:77:df:e2
ResultLevel: -89
Frequency: 2422
Timestamp: 27934308164


************** 

Scanning: Stue

SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:72
ResultLevel: -86
Frequency: 2412
Timestamp: 27997113086


SSID: 
BSSID: a4:08:f5:1f:09:3b
ResultLevel: -97
Frequency: 2437
Timestamp: 27997113105


SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:2a
ResultLevel: -89
Frequency: 2437
Timestamp: 27997113102


SSID: tornebakkepigen
BSSID: 28:9e:fc:08:d3:9a
ResultLevel: -96
Frequency: 2462
Timestamp: 27997113127


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -54
Frequency: 5260
Timestamp: 27997113116


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -57
Frequency: 2427
Timestamp: 27997113098


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -50
Frequency: 2462
Timestamp: 27997113124


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -65
Frequency: 2452
Timestamp: 27997113109


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -70
Frequency: 5500
Timestamp: 27997113141


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -47
Frequency: 5260
Timestamp: 27997113112


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -89
Frequency: 2422
Timestamp: 27997113094


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -70
Frequency: 5500
Timestamp: 27997113138


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -54
Frequency: 5260
Timestamp: 27997113120


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -89
Frequency: 2462
Timestamp: 27997113131


SSID: CableBox-6FB4
BSSID: 58:90:43:54:6f:ba
ResultLevel: -93
Frequency: 2472
Timestamp: 27997113134


SSID: DIRECT-reC48x Series
BSSID: 86:25:19:77:df:e2
ResultLevel: -91
Frequency: 2422
Timestamp: 27997113091


************** 

Scanning: Stue

SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:72
ResultLevel: -86
Frequency: 2412
Timestamp: 27999878646


SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:2a
ResultLevel: -90
Frequency: 2437
Timestamp: 27999878664


SSID: ADpKTvsM
BSSID: b8:d9:4d:67:05:76
ResultLevel: -95
Frequency: 2412
Timestamp: 27999878650


SSID: tornebakkepigen
BSSID: 28:9e:fc:08:d3:9a
ResultLevel: -95
Frequency: 2462
Timestamp: 27999878686


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -53
Frequency: 5260
Timestamp: 27999878676


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -55
Frequency: 2427
Timestamp: 27999878661


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -50
Frequency: 2462
Timestamp: 27999878683


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -63
Frequency: 2452
Timestamp: 27999878668


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -70
Frequency: 5500
Timestamp: 27999878703


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -46
Frequency: 5260
Timestamp: 27999878672


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -88
Frequency: 2422
Timestamp: 27999878656


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -70
Frequency: 5500
Timestamp: 27999878696


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -53
Frequency: 5260
Timestamp: 27999878679


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -87
Frequency: 2462
Timestamp: 27999878689


SSID: CableBox-6FB4
BSSID: 58:90:43:54:6f:ba
ResultLevel: -92
Frequency: 2472
Timestamp: 27999878692


SSID: DIRECT-reC48x Series
BSSID: 86:25:19:77:df:e2
ResultLevel: -85
Frequency: 2422
Timestamp: 27999878653


************** 

Scanning: Køkken 

SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:72
ResultLevel: -86
Frequency: 2412
Timestamp: 27999878646


SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:2a
ResultLevel: -90
Frequency: 2437
Timestamp: 27999878664


SSID: ADpKTvsM
BSSID: b8:d9:4d:67:05:76
ResultLevel: -95
Frequency: 2412
Timestamp: 27999878650


SSID: tornebakkepigen
BSSID: 28:9e:fc:08:d3:9a
ResultLevel: -95
Frequency: 2462
Timestamp: 27999878686


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -53
Frequency: 5260
Timestamp: 27999878676


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -55
Frequency: 2427
Timestamp: 27999878661


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -50
Frequency: 2462
Timestamp: 27999878683


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -63
Frequency: 2452
Timestamp: 27999878668


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -70
Frequency: 5500
Timestamp: 27999878703


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -46
Frequency: 5260
Timestamp: 27999878672


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -88
Frequency: 2422
Timestamp: 27999878656


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -70
Frequency: 5500
Timestamp: 27999878696


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -53
Frequency: 5260
Timestamp: 27999878679


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -87
Frequency: 2462
Timestamp: 27999878689


SSID: CableBox-6FB4
BSSID: 58:90:43:54:6f:ba
ResultLevel: -92
Frequency: 2472
Timestamp: 27999878692


SSID: DIRECT-reC48x Series
BSSID: 86:25:19:77:df:e2
ResultLevel: -85
Frequency: 2422
Timestamp: 27999878653


************** 

Scanning: Køkken 

SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -69
Frequency: 5260
Timestamp: 28051578819


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -58
Frequency: 2427
Timestamp: 28051578801


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -67
Frequency: 2462
Timestamp: 28051578811


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -76
Frequency: 2452
Timestamp: 28051578808


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -83
Frequency: 5500
Timestamp: 28051578829


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -80
Frequency: 5260
Timestamp: 28051578815


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -83
Frequency: 5500
Timestamp: 28051578832


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -66
Frequency: 5260
Timestamp: 28051578822


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -93
Frequency: 2462
Timestamp: 28051578826


SSID: 
BSSID: e2:24:c8:36:d8:5d
ResultLevel: -90
Frequency: 2432
Timestamp: 28051578804


************** 

Scanning: Køkken 

SSID: ADpKTvsM
BSSID: b8:d9:4d:67:05:76
ResultLevel: -95
Frequency: 2412
Timestamp: 28054318382


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -59
Frequency: 5260
Timestamp: 28054318394


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -55
Frequency: 2427
Timestamp: 28054318384


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -68
Frequency: 2462
Timestamp: 28054318407


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -80
Frequency: 2452
Timestamp: 28054318391


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -82
Frequency: 5500
Timestamp: 28054318413


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -80
Frequency: 5260
Timestamp: 28054318398


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -83
Frequency: 5500
Timestamp: 28054318417


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -60
Frequency: 5260
Timestamp: 28054318403


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -90
Frequency: 2462
Timestamp: 28054318410


************** 

Scanning: Køkken 

SSID: 
BSSID: a4:08:f5:1f:09:3b
ResultLevel: -92
Frequency: 2437
Timestamp: 28117116310


SSID: ADpKTvsM
BSSID: b8:d9:4d:67:05:76
ResultLevel: -90
Frequency: 2412
Timestamp: 28117116290


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -58
Frequency: 5260
Timestamp: 28117116324


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -56
Frequency: 2427
Timestamp: 28117116297


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -69
Frequency: 2462
Timestamp: 28117116335


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -80
Frequency: 2452
Timestamp: 28117116317


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -70
Frequency: 5500
Timestamp: 28117116339


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -72
Frequency: 5260
Timestamp: 28117116320


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -82
Frequency: 2422
Timestamp: 28117116294


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -70
Frequency: 5500
Timestamp: 28117116342


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -58
Frequency: 5260
Timestamp: 28117116329


SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -95
Frequency: 5180
Timestamp: 28117116283


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -82
Frequency: 2462
Timestamp: 28117116332


SSID: Flintebakken247
BSSID: 30:93:bc:b9:b9:12
ResultLevel: -97
Frequency: 2412
Timestamp: 28117116287


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -89
Frequency: 5240
Timestamp: 28117116301


************** 

Scanning: Køkken 

SSID: 
BSSID: a4:08:f5:1f:09:3b
ResultLevel: -92
Frequency: 2437
Timestamp: 28119893227


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -58
Frequency: 5260
Timestamp: 28119893240


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -61
Frequency: 2427
Timestamp: 28119893217


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -66
Frequency: 2462
Timestamp: 28119893235


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -75
Frequency: 2452
Timestamp: 28119893232


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -77
Frequency: 5500
Timestamp: 28119893254


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -77
Frequency: 5260
Timestamp: 28119893237


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -82
Frequency: 2422
Timestamp: 28119893214


SSID: WiFimodem-4609
BSSID: ac:3b:77:a3:46:0e
ResultLevel: -91
Frequency: 2462
Timestamp: 28119893248


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -82
Frequency: 5500
Timestamp: 28119893251


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -62
Frequency: 5260
Timestamp: 28119893243


SSID: WifiD0A0
BSSID: b0:bb:e5:ff:d0:a6
ResultLevel: -91
Frequency: 2437
Timestamp: 28119893230


SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -91
Frequency: 5180
Timestamp: 28119893209


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -82
Frequency: 2462
Timestamp: 28119893245


SSID: 
BSSID: e2:24:c8:36:d8:61
ResultLevel: -92
Frequency: 5180
Timestamp: 28119893205


SSID: 
BSSID: e2:24:c8:36:d8:5d
ResultLevel: -82
Frequency: 2432
Timestamp: 28119893224


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -90
Frequency: 5240
Timestamp: 28119893220


************** 

Scanning: Køkken 

SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -67
Frequency: 5260
Timestamp: 28158966529


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -60
Frequency: 2427
Timestamp: 28158966516


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -76
Frequency: 2462
Timestamp: 28158966544


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -79
Frequency: 2452
Timestamp: 28158966525


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -84
Frequency: 5500
Timestamp: 28158966553


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -86
Frequency: 5260
Timestamp: 28158966534


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -84
Frequency: 5500
Timestamp: 28158966557


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -67
Frequency: 5260
Timestamp: 28158966539


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -89
Frequency: 2462
Timestamp: 28158966548


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -94
Frequency: 5240
Timestamp: 28158966520


************** 

Scanning: Køkken 

SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -69
Frequency: 5260
Timestamp: 28171568887


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -59
Frequency: 2427
Timestamp: 28171568884


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -76
Frequency: 2452
Timestamp: 28171568887


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -76
Frequency: 2462
Timestamp: 28171568891


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -84
Frequency: 5500
Timestamp: 28171568893


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -84
Frequency: 5260
Timestamp: 28171568889


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -85
Frequency: 5500
Timestamp: 28171568894


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -71
Frequency: 5260
Timestamp: 28171568889


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -89
Frequency: 2462
Timestamp: 28171568892


SSID: 
BSSID: e2:24:c8:36:d8:5d
ResultLevel: -92
Frequency: 2432
Timestamp: 28171568886


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -95
Frequency: 5240
Timestamp: 28171568885


************** 

Scanning: Køkken 

SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -72
Frequency: 5260
Timestamp: 28174357708


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -74
Frequency: 2427
Timestamp: 28174357702


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -71
Frequency: 2462
Timestamp: 28174357706


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -77
Frequency: 2452
Timestamp: 28174357705


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -85
Frequency: 5500
Timestamp: 28174357710


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -83
Frequency: 5260
Timestamp: 28174357707


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -86
Frequency: 5500
Timestamp: 28174357711


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -72
Frequency: 5260
Timestamp: 28174357709


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -90
Frequency: 2462
Timestamp: 28174357709


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -95
Frequency: 5240
Timestamp: 28174357704


************** 

Scanning: Køkken 

SSID: ADpKTvsM
BSSID: b8:d9:4d:67:05:76
ResultLevel: -94
Frequency: 2412
Timestamp: 28237129832


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -73
Frequency: 5260
Timestamp: 28237129840


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -70
Frequency: 2427
Timestamp: 28237129834


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -74
Frequency: 2462
Timestamp: 28237129842


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -76
Frequency: 2452
Timestamp: 28237129838


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -86
Frequency: 5500
Timestamp: 28237129844


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -86
Frequency: 5260
Timestamp: 28237129839


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -89
Frequency: 2422
Timestamp: 28237129833


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -86
Frequency: 5500
Timestamp: 28237129845


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -73
Frequency: 5260
Timestamp: 28237129841


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -88
Frequency: 2462
Timestamp: 28237129843


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -94
Frequency: 5240
Timestamp: 28237129835


************** 

Scanning: Køkken 

SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -70
Frequency: 5260
Timestamp: 28239894977


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -72
Frequency: 2427
Timestamp: 28239894960


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -75
Frequency: 2452
Timestamp: 28239894964


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -75
Frequency: 2462
Timestamp: 28239894968


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -85
Frequency: 5500
Timestamp: 28239894990


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -86
Frequency: 5260
Timestamp: 28239894972


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -85
Frequency: 5500
Timestamp: 28239894994


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -70
Frequency: 5260
Timestamp: 28239894982


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -89
Frequency: 2462
Timestamp: 28239894986


************** 

